station_name,agency,line,station_la,station_lo,facility_id,primary_mode_served,facility_type,square_feet,year_built,county,full_address
Albertson,MTA Long Island Rail Road (LIRR),Oyster Bay Branch,40.77206317,-73.64169095,NA,Commuter Rail,Simple At-Grade Platform Station,,1998,Nassau County,"I.U. Willetts Road and Albertson Avenue,  Albertson NY, 11507"
Islip,MTA Long Island Rail Road (LIRR),Montauk Branch,40.73583449,-73.20932145,1171,Commuter Rail,Simple At-Grade Platform Station,"8,500",1996,Suffolk County,"between Sunrise Highway (Route 27) and Montauk Highway (Route 27A)., ISLIP, NY ,11751"
Inwood,MTA Long Island Rail Road (LIRR),Far Rockaway Branch,40.61228773,-73.74418354,1169,Commuter Rail,Simple At-Grade Platform Station,"34,853",1981,Nassau County,"Doughty Boulevard, INWOOD, NY ,11559"
Jamaica,MTA Long Island Rail Road (LIRR),"Montauk Branch, Babylon Branch, Oyster Bay Branch, Port Jefferson Branch, Hempstead Branch, Long Beach Branch, Ronkonkoma Branch, West Hempstead Branch, City Terminal Zone, Far Rockaway Branch",40.69960817,-73.80852987,1172,Commuter Rail,Elevated Fixed Guideway Station,"239,369",2006,Queens County,"93-02 Sutphin Blvd, JAMAICA, NY ,11435"
Kew Gardens,MTA Long Island Rail Road (LIRR),"Babylon Branch, Hempstead Branch, Long Beach Branch, Ronkonkoma Branch, Port Jefferson Branch, West Hempstead Branch, Far Rockaway Branch",40.70964917,-73.83088807,1173,Commuter Rail,Simple At-Grade Platform Station,"51,184",2005,Queens County,"Austin Street and Lefferts Boulevard, KEW GARDENS, NY ,11415"
Broadway,MTA Long Island Rail Road (LIRR),Port Washington Branch,40.76165318,-73.80176612,1131,Commuter Rail,Simple At-Grade Platform Station,"73,025",2002,Queens County,"Intersection of 162nd Street and Northern Boulevard, FLUSHING /MAIN STREET, NY ,11358"
Kings Park,MTA Long Island Rail Road (LIRR),Port Jefferson Branch,40.88366659,-73.25624757,1174,Commuter Rail,Simple At-Grade Platform Station,"21,900",2004,Suffolk County,"Indian Head Road and Main Street, KINGS PARK, NY ,11754"
Long Beach,MTA Long Island Rail Road (LIRR),Long Beach Branch,40.5901817,-73.66481822,1182,Commuter Rail,Simple At-Grade Platform Station,"180,423",2002,Nassau County,"Park Place and Park Avenue, LONG BEACH, NY ,11561"
Lawrence,MTA Long Island Rail Road (LIRR),Far Rockaway Branch,40.6157347,-73.73589955,1177,Commuter Rail,Simple At-Grade Platform Station,"70,612",1981,Nassau County,"Lawrence Avenue and Bayview Avenue, LAWRENCE, NY ,11559"
Lindenhurst,MTA Long Island Rail Road (LIRR),Babylon Branch,40.68826504,-73.36921149,1178,Commuter Rail,Elevated Fixed Guideway Station,"52,795",1972,Suffolk County,"Wellwood Avenue and East Hoffman Avenue, LINDENHURST, NY ,11757"
Long Island City,MTA Long Island Rail Road (LIRR),"Montauk Branch, Oyster Bay Branch, Port Jefferson Branch",40.74134343,-73.95763922,1183,Commuter Rail,Simple At-Grade Platform Station,"40,440",1903,Queens County,"5-15 Borden Avenue, Long Island City, NY ,11101"
Locust Manor,MTA Long Island Rail Road (LIRR),"Long Beach Branch, Far Rockaway Branch",40.67513907,-73.76504303,1180,Commuter Rail,Simple At-Grade Platform Station,"57,280",1960,Queens County,"Farmers Boulevard and Bedell Street, LOCUST MANOR, NY ,11434"
Little Neck,MTA Long Island Rail Road (LIRR),Port Washington Branch,40.77504393,-73.74064662,1179,Commuter Rail,Simple At-Grade Platform Station,"60,512",1989,Queens County,"Little Neck Parkway and 39th Road, LITTLE NECK, NY ,11363"
Laurelton,MTA Long Island Rail Road (LIRR),"Long Beach Branch, Far Rockaway Branch",40.66848304,-73.75174687,1176,Commuter Rail,Simple At-Grade Platform Station,"58,534",1955,Queens County,"224th Street and 141st Road, LAURELTON, NY ,11413"
Locust Valley,MTA Long Island Rail Road (LIRR),Oyster Bay Branch,40.87446697,-73.59830284,1181,Commuter Rail,Simple At-Grade Platform Station,"10,900",1999,Nassau County,"Birch Hill Road / Piping Rock Road, LOCUST VALLEY, NY ,11560"
Lakeview,MTA Long Island Rail Road (LIRR),West Hempstead Branch,40.68585582,-73.65213777,1175,Commuter Rail,Elevated Fixed Guideway Station,"2,600",1992,Nassau County,"Woodfield Road and Eagle Avenue, LAKE VIEW, NY ,11552"
Lynbrook,MTA Long Island Rail Road (LIRR),"Babylon Branch, Long Beach Branch",40.65605814,-73.67607083,1184,Commuter Rail,Elevated Fixed Guideway Station,"109,943",2004,Suffolk County,"Sunrise Highway and between Peninsula Boulevard and Broadway, LYNBROOK, NY ,11563"
Mattituck,MTA Long Island Rail Road (LIRR),Ronkonkoma Branch,40.99179354,-72.53606243,1190,Commuter Rail,Simple At-Grade Platform Station,"13,784",1996,Suffolk County,"Love Lane and Pike Street, MATTITUCK, NY ,11952"
Merillon Avenue,MTA Long Island Rail Road (LIRR),"Port Jefferson Branch, Ronkonkoma Branch",40.73516903,-73.66252148,1192,Commuter Rail,Simple At-Grade Platform Station,"62,016",2022,Nassau County,"Nassau Boulevard and Merillon Avenue, Garden City, NY ,11040"
Medford,MTA Long Island Rail Road (LIRR),Ronkonkoma Branch,40.81739665,-72.99890946,1191,Commuter Rail,Simple At-Grade Platform Station,"17,565",1996,Suffolk County,"Medford Avenue (Route 112) and Long Island Avenue, MEDFORD, NY ,11763"
Bridgehampton,MTA Long Island Rail Road (LIRR),Montauk Branch,40.93898378,-72.31004593,NA,Commuter Rail,Simple At-Grade Platform Station,,2001,Suffolk County,"Maple and Butter Lanes, Bridgehampton, NY 11932"
Murray Hill,MTA Long Island Rail Road (LIRR),Port Washington Branch,40.76270926,-73.81453928,1197,Commuter Rail,Simple At-Grade Platform Station,"32,022",1991,Queens County,"150th Street and 41st Avenue, MURRAY HILL, NY ,11354"
Manhasset,MTA Long Island Rail Road (LIRR),Port Washington Branch,40.7967241,-73.69989909,1186,Commuter Rail,Simple At-Grade Platform Station,"44,619",2000,Nassau County,"Plandome Road and Maple Place, MANHASSET, NY ,11030"
Mineola,MTA Long Island Rail Road (LIRR),"Montauk Branch, Oyster Bay Branch, Port Jefferson Branch, Ronkonkoma Branch",40.74034743,-73.64086293,1195,Commuter Rail,Simple At-Grade Platform Station,"20,000",2022,Nassau County,"Front Street and Mineola Boulevard, MINEOLA, NY ,11501"
Massapequa Park,MTA Long Island Rail Road (LIRR),Babylon Branch,40.6778591,-73.45473724,1188,Commuter Rail,Elevated Fixed Guideway Station,"75,652",2002,Nassau County,"Sunrise Highway (Route 27) and Park Boulevard, MASSAPEQUA PARK, NY ,11762"
Massapequa,MTA Long Island Rail Road (LIRR),Babylon Branch,40.67693014,-73.46905552,1187,Commuter Rail,Simple At-Grade Platform Station,"59,574",2000,Nassau County,"Sunrise Highway (Route 27), just East of Broadway and Route 107, MASSAPEQUA, NY ,11758"
Stony Brook,MTA Long Island Rail Road (LIRR),Port Jefferson Branch,40.92032252,-73.12854943,1227,Commuter Rail,Simple At-Grade Platform Station,"94,370",1989,Suffolk County,"North Country Road (Route 25A) and Chapman Street, STONY BROOK, NY ,11794"
Mastic-Shirley,MTA Long Island Rail Road (LIRR),Montauk Branch,40.79898815,-72.86442272,1189,Commuter Rail,Simple At-Grade Platform Station,"4,500",1998,Suffolk County,"William Floyd Parkway and Northern Boulevard, MASTIC SHIRLEY, NY ,11967"
Montauk,MTA Long Island Rail Road (LIRR),Montauk Branch,41.04710896,-71.95388103,1196,Commuter Rail,Simple At-Grade Platform Station,"69,986",1998,Suffolk County,"Edgemere Street and Fort Pond Road, MONTAUK, NY ,11954"
