Zipcode,Region,transit_mode,agency,line_name,station_name,line_station,year_stati,stations_la,stations_lo
20001,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",MT VERNON SQ/7TH ST-CONVENTION CENTER,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) MT VERNON SQ/7TH ST-CONVENTION CENTER",Pre-2000,38.901056,-77.022025
20001,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",SHAW METRO STATION,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) SHAW METRO STATION",Pre-2000,38.914546,-77.021927
20001,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue), Metrorail Red Line(Red)",METRO CENTER METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue), Metrorail Red Line(Red) METRO CENTER METRO STATION",Pre-2000,38.898327,-77.027777
20001,39,4,WMATA,Metrorail Red Line(Red),JUDICIARY SQUARE METRO STATION,Metrorail Red Line(Red) JUDICIARY SQUARE METRO STATION,Pre-2000,38.896121,-77.016312
20001,39,4,WMATA,"Metrorail Red Line(Red), Metrorail Yellow Line(Yellow), Metrorail Green Line(Green)",GALLERY PLACE CHINATOWN METRO STATION,"Metrorail Red Line(Red), Metrorail Yellow Line(Yellow), Metrorail Green Line(Green) GALLERY PLACE CHINATOWN METRO STATION",Pre-2000,38.898354,-77.021527
20002,39,4,WMATA,Metrorail Red Line(Red),NEW YORK AVENUE METRO STATION,Metrorail Red Line(Red) NEW YORK AVENUE METRO STATION,Pre-2000,38.907413,-77.002981
20002,39,4,WMATA,Metrorail Red Line(Red),UNION STATION METRO STATION,Metrorail Red Line(Red) UNION STATION METRO STATION,Pre-2000,38.89777,-77.006402
20003,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",EASTERN MARKET METRO STATION,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange) EASTERN MARKET METRO STATION",Pre-2000,38.884148,-76.99501
20003,39,4,WMATA,Metrorail Green Line(Green),NAVY YARD METRO STATION,Metrorail Green Line(Green) NAVY YARD METRO STATION,Pre-2000,38.876517,-77.004749
20003,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",CAPITOL SOUTH METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) CAPITOL SOUTH METRO STATION",Pre-2000,38.885669,-77.005892
20003,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",POTOMAC AVE METRO,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) POTOMAC AVE METRO",Pre-2000,38.880874,-76.985397
20003,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",STADIUM ARMORY METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) STADIUM ARMORY METRO STATION",Pre-2000,38.885982,-76.977168
20004,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",FEDERAL TRIANGLE METRO STATION,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange) FEDERAL TRIANGLE METRO STATION",Pre-2000,38.893789,-77.027896
20004,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",ARCHIVES METRO STATION,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) ARCHIVES METRO STATION",Pre-2000,38.893907,-77.021592
20005,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",MCPHERSON SQ METRO STATION,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange) MCPHERSON SQ METRO STATION",Pre-2000,38.901335,-77.031958
20006,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",FARRAGUT WEST METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) FARRAGUT WEST METRO STATION",Pre-2000,38.901366,-77.039482
20008,39,4,WMATA,Metrorail Red Line(Red),CLEVELAND PARK METRO STATION,Metrorail Red Line(Red) CLEVELAND PARK METRO STATION,Pre-2000,38.935852,-77.058624
20008,39,4,WMATA,Metrorail Red Line(Red),VAN NESS-UDC METRO STATION,Metrorail Red Line(Red) VAN NESS-UDC METRO STATION,Pre-2000,38.944519,-77.063716
20008,39,4,WMATA,Metrorail Red Line(Red),WOODLEY PARK-ZOO METRO STATION,Metrorail Red Line(Red) WOODLEY PARK-ZOO METRO STATION,Pre-2000,38.925,-77.05235
